strategy,final_pnl,final_cash,final_inventory,final_mtm,n_fills_bid,n_fills_ask,total_fills,n_quotes,max_inventory,min_inventory,pnl_std,max_drawdown,market,sigma,mid_price,spread_cents
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,90,0,0,0.0,0.0,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,0.5645519483650066,0.4275,3.9000000000000035
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,90,0,0,0.0,0.0,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,0.5645519483650066,0.4275,3.9000000000000035
FDBasedMM,0.0,20.0,0,20.0,0,0,0,90,0,0,0.0,0.0,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,0.5645519483650066,0.4275,3.9000000000000035
PINNBasedMM,0.11599979263986526,19.54,1,20.115999792639865,1,0,1,90,1,0,0.05160085158689698,-0.05799999999999983,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,0.5645519483650066,0.4275,3.9000000000000035
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,15,0,0,0.0,0.0,new-playboi-carti-album-before-gta-vi-421,1.490022802500693,0.575,1.0000000000000009
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,15,0,0,0.0,0.0,new-playboi-carti-album-before-gta-vi-421,1.490022802500693,0.575,1.0000000000000009
FDBasedMM,0.19000000000000128,19.6,1,20.19,1,0,1,15,1,0,0.005545933940184678,0.0,new-playboi-carti-album-before-gta-vi-421,1.490022802500693,0.575,1.0000000000000009
PINNBasedMM,-1.7899999999999991,21.16,-5,18.21,0,5,5,15,0,-5,0.2951935455487662,-0.8988235124567474,new-playboi-carti-album-before-gta-vi-421,1.490022802500693,0.575,1.0000000000000009
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,30,0,0,0.0,0.0,new-rhianna-album-before-gta-vi-926,0.7849814548317502,0.565,0.9999999999999898
NaiveSymmetricMM,0.0,20.0,0,20.0,0,0,0,30,0,0,0.0,0.0,new-rhianna-album-before-gta-vi-926,0.7849814548317502,0.565,0.9999999999999898
FDBasedMM,0.0,20.0,0,20.0,0,0,0,30,0,0,0.0,0.0,new-rhianna-album-before-gta-vi-926,0.7849814548317502,0.565,0.9999999999999898
PINNBasedMM,-1.4499999999999993,21.650000000000002,-5,18.55,0,5,5,30,0,-5,0.6544106483047036,-1.456674999999997,new-rhianna-album-before-gta-vi-926,0.7849814548317502,0.565,0.9999999999999898
